The Magnificent Seven,2016,"Action, Adventure, Western",6.9,8,178884,(2016)
Trapped,2016,"Drama, Thriller",7.5,9,9349,(XVII) (2016)
Bareilly Ki Barfi,2017,"Comedy, Romance",7.5,9,17015,(2017)
Despicable Me 3,2017,"Animation, Adventure, Comedy",6.3,7,106302,(2017)
Wonder Woman,2017,"Action, Adventure, Fantasy",7.4,9,528069,(2017)
Logan,2017,"Action, Drama, Sci-Fi",8.1,9,616731,(2017)
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",7.6,8,540392,(2017)
Jason Bourne,2016,"Action, Thriller",6.6,7,201621,(I) (2016)
Louis C.K. 2017,2017,Comedy,7.6,8,8606,(2017 TV Special)
Kong: Skull Island,2017,"Action, Adventure, Fantasy",6.6,8,258363,(2017)
Rick and Morty,2013,"Animation, Adventure, Comedy",9.2,10,339970,(2013– )
The Godfather,1972,"Crime, Drama",9.2,10,1548983,(1972)
Star Trek Beyond,2016,"Action, Adventure, Sci-Fi",7.1,7,220613,(2016)
Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",7.8,9,531339,(2016)
Hera Pheri,2000,"Action, Comedy, Crime",8.2,9,53092,(2000)
Kapoor & Sons,2016,"Comedy, Drama, Romance",7.7,8,21865,(2016)
Iqbal,2005,"Drama, Sport",8.1,9,15371,(2005)
Lion,2016,"Biography, Drama",8,10,202422,(2016)
Badrinath Ki Dulhania,2017,"Comedy, Drama, Romance",6.2,9,9345,(2017)
The Man from U.N.C.L.E.,2015,"Action, Adventure, Comedy",7.3,9,258106,(2015)
Jack Reacher: Never Go Back,2016,"Action, Thriller",6.1,8,131934,(2016)
Doctor Strange,2016,"Action, Adventure, Fantasy",7.5,9,569251,(2016)
Arrival,2016,"Drama, Mystery, Sci-Fi",7.9,9,565363,(II) (2016)
Moana,2016,"Animation, Adventure, Comedy",7.6,9,253348,(I) (2016)
Allied,2016,"Action, Drama, Romance",7.1,10,135823,(2016)
Jolly LLB 2,2017,"Comedy, Drama",7.2,9,20943,(2017)
The Grand Tour,2016,"Comedy, Talk-Show",8.7,9,59994,(2016– )
Lights Out,2016,"Drama, Horror, Mystery",6.3,8,109709,(II) (2016)
Swiss Army Man,2016,"Comedy, Drama, Fantasy",7,10,100848,(2016)
Hush,2016,"Horror, Thriller",6.6,9,93463,(I) (2016)
Passengers,2016,"Drama, Romance, Sci-Fi",7,7,334951,(I) (2016)
Sultan,2016,"Action, Drama, Sport",7,8,35698,(2016)
NH10,2015,"Action, Crime, Drama",7.2,8,11691,(2015)
Ghajini,2008,"Action, Drama, Mystery",7.3,8,54767,(2008)
Lootera,2013,"Drama, Romance",7.3,8,14216,(I) (2013)
Oye Lucky! Lucky Oye!,2008,"Comedy, Crime, Drama",7.7,9,15600,(2008)
Veer-Zaara,2004,"Drama, Family, Musical",7.8,10,47233,(2004)
Neerja,2016,"Biography, Drama, Thriller",7.7,7,19923,(2016)
Bajrangi Bhaijaan,2015,"Action, Comedy, Drama",8,8,68544,(2015)
Special 26,2013,"Crime, Drama, Thriller",8,8,48575,(2013)
Masaan,2015,Drama,8.1,9,21577,(2015)
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",8.1,9,63985,(2011)
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1,8,48512,(2012)
Swades,2004,Drama,8.2,9,79465,(2004)
Chak de! India,2007,"Drama, Family, Sport",8.2,9,70795,(2007)
Westworld,2016,"Drama, Mystery, Sci-Fi",8.7,10,400468,(2016– )
Dear Zindagi,2016,"Drama, Romance",7.6,9,34249,(2016)
Kahaani,2012,"Mystery, Thriller",8.1,9,55287,(2012)
Foxcatcher,2014,"Biography, Drama, Sport",7,9,131097,(2014)
Erin Brockovich,2000,"Biography, Drama",7.3,8,168417,(2000)
Mr. & Mrs. Smith,2005,"Action, Comedy, Crime",6.5,8,438149,(2005)
Luke Cage,2016,"Action, Crime, Drama",7.3,10,112395,(2016–2018)
Seinfeld,1989,Comedy,8.8,9,242345,(1989–1998)
Pink,2016,"Drama, Thriller",8.1,10,36377,(III) (2016)
Tanu Weds Manu,2011,"Comedy, Drama, Romance",6.8,10,12614,(2011)
Pyaar Ka Punchnama,2011,"Comedy, Drama, Romance",7.7,8,19075,(2011)
Shrek,2001,"Animation, Adventure, Comedy",7.8,10,594069,(2001)
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",7.6,9,450713,(2009)
Udta Punjab,2016,"Action, Crime, Drama",7.8,9,25442,(2016)
Harry Potter and the Chamber of Secrets,2002,"Adventure, Family, Fantasy",7.4,9,527781,(2002)
Me Before You,2016,"Drama, Romance",7.4,10,195652,(2016)
Warcraft,2016,"Action, Adventure, Fantasy",6.8,8,236179,(2016)
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",6.5,8,605734,(2016)
Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",7.8,8,634903,(2016)
Suicide Squad,2016,"Action, Adventure, Fantasy",6,8,579044,(2016)
PK,2014,"Comedy, Drama, Fantasy",8.1,8,153348,(2014)
Black,2005,Drama,8.2,8,32478,(2005)
Gangs of Wasseypur,2012,"Action, Crime, Drama",8.2,10,75798,(2012)
Airlift,2016,"Drama, History",8,9,51123,(2016)
Khosla's Nest,2006,"Comedy, Crime, Drama",8.3,10,21384,(2006)
Like Stars on Earth,2007,"Drama, Family",8.4,10,157639,(2007)
The Revenant,2015,"Action, Adventure, Biography",8,7,674830,(2015)
Ice Age: Collision Course,2016,"Animation, Adventure, Comedy",5.7,10,53763,(2016)
Now You See Me,2013,"Crime, Mystery, Thriller",7.3,8,579266,(I) (2013)
Pompeii,2014,"Action, Adventure, Drama",5.5,7,104220,(I) (2014)
Inside Out,2015,"Animation, Adventure, Comedy",8.1,10,583027,(I) (2015)
X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",6.9,8,380202,(2016)
P.S. I Love You,2007,"Comedy, Drama, Romance",7,10,196886,(2007)
Zootopia,2016,"Animation, Adventure, Comedy",8,9,414583,(2016)
London Has Fallen,2016,"Action, Thriller",5.9,7,139157,(2016)
12 Angry Men,1957,"Crime, Drama",8.9,10,657067,(1957)
Pyaar Ka Punchnama 2,2015,"Comedy, Drama, Romance",7.3,8,13499,(2015)
City of Revenge,2015,"Action, Crime, Drama",7.4,9,20770,(2015)
Tanu Weds Manu Returns,2015,"Comedy, Drama, Romance",7.6,8,25093,(2015)
Star Wars: Episode I - The Phantom Menace,1999,"Action, Adventure, Fantasy",6.5,7,706094,(1999)
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",7.9,9,524944,(2004)
Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",7.5,8,486564,(2007)
The Big Short,2015,"Biography, Comedy, Drama",7.8,10,341554,(2015)
Steve Jobs,2015,"Biography, Drama",7.2,9,148007,(2015)
The Judge,2014,"Crime, Drama",7.4,9,171096,(2014)
Jurassic Park III,2001,"Action, Adventure, Sci-Fi",5.9,7,287616,(2001)
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",7.6,10,613247,(2001)
Inglourious Basterds,2009,"Adventure, Drama, War",8.3,10,1211858,(2009)
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",7.7,9,456048,(2010)
Cast Away,2000,"Adventure, Drama, Romance",7.8,9,503423,(2000)
Kung Fu Panda 3,2016,"Animation, Action, Adventure",7.1,8,127435,(2016)
The Departed,2006,"Crime, Drama, Thriller",8.5,10,1144506,(2006)
Deadpool,2016,"Action, Adventure, Comedy",8,9,872740,(2016)
